[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[1]SceneSetup
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[10]DustPS
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[11]Clouds
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[11]Clouds.[0]LowCloudsGenerator
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[11]Clouds.[0]LowCloudsGenerator.[0]OpaqueGeometry
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[11]Clouds.[1]HighCloudsGenerator
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[11]Clouds.[1]HighCloudsGenerator.[0]OpaqueGeometry
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[12]StarHemisphere
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[0]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[0]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[1]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[1]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[10]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[10]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[11]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[11]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[12]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[12]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[13]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[13]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[14]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[14]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[15]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[15]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[16]PillarTrackLaneRing(Clone)
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[16]PillarTrackLaneRing(Clone).[0]Cube
[DEBUG @ 18:43:32 | Chroma] BTSEnvironment.[0]Environment.[13]PillarTrackLaneRingsR.[17]PillarTrackLaneRing(Clone)
