[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[1]====== STATIC ======
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[0]Spectrogram
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[0]Spectrogram.[0]Spectrogram0
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[0]Spectrogram.[1]Spectrogram1
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[1]Spectrogram
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[1]Spectrogram.[0]Spectrogram0
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[10]Spectrograms.[1]Spectrogram.[1]Spectrogram1
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[11]BigTrackLaneRings
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[12]BigSmokePS
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[13]DustPS
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[14]====== LIGHTS ======
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[0]LightManager
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[1]LightWrapper0
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[1]LightWrapper0.[0]DirectionalLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[2]LightWrapper1
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[2]LightWrapper1.[0]DirectionalLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[3]DirectionalLight
[DEBUG @ 18:48:42 | Chroma] BigMirrorEnvironment.[0]Environment.[15]CoreLighting.[4]DirectionalLight
