[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[0]SceneSetup
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[1]DecoratorContext
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[10]LightEffects
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[11]====== STATIC ======
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[12]Mountains
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[12]Mountains.[0]BackMountains
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[12]Mountains.[1]FrontMountains
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[0]Mirror
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[1]Feet
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[2]Construction
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[3]RectangleFakeGlow
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[4]Frame
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[5]SaberBurnMarksParticles
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[5]SaberBurnMarksParticles.[0]SaberBurnMarkSparklePS
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[6]SaberBurnMarksArea
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[13]PlayersPlace.[7]Collider
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[14]LeftRail
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[15]RightRail
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[16]LeftFarRail1
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[17]LeftFarRail2
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[18]RightFarRail1
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[19]RightFarRail2
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[0]BG
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[1]BarBG
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[2]EnergyIconEmpty
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[3]EnergyIconFull
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[7]Colorer
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[0]ComboText
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[2]Line0
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[3]Line1
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[4]Colorer
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[0]ScoreText
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[0]BGCircle
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[1]FGCircle
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1
