[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[1]====== STATIC ======
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[10]PanelsLightsTrackLaneRings
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[11]BigCenterLightsTrackLaneRings
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[12]BigSmokePS
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[0]LightManager
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[1]LightWrapper0
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[1]LightWrapper0.[0]DirectionalLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[2]LightWrapper1
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[2]LightWrapper1.[0]DirectionalLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[3]DirectionalLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[4]DirectionalLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[13]CoreLighting.[5]DirectionalLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[14]LightEffects
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[15]LightWithIdManager
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[0]NeonTube
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[0]NeonTube.[0]BakedBloom
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[0]NeonTube.[1]BoxLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[1]NeonTube (1)
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[1]NeonTube (1).[0]BakedBloom
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[16]FrontLights.[1]NeonTube (1).[1]BoxLight
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[17]RotatingLasersPair
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[17]RotatingLasersPair.[0]BaseL
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[17]RotatingLasersPair.[0]BaseL.[0]Laser
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[17]RotatingLasersPair.[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:51:30 | Chroma] FitBeatEnvironment.[0]Environment.[17]RotatingLasersPair.[0]BaseL.[0]Laser.[1]BoxLight
