[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[1]SceneSetup
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[10]BakedReflectionProbe
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[11]Logo
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[0]Mirror
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[1]Feet
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[2]Construction
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[3]RectangleFakeGlow
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[4]Frame
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[5]SaberBurnMarksParticles
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[5]SaberBurnMarksParticles.[0]SaberBurnMarkSparklePS
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[6]SaberBurnMarksArea
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[12]PlayersPlace.[7]Collider
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[13]Floor
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[13]Floor.[0]FloorDepthWrite
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[14]RearPillar
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[15]RearPillar (2)
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4)
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[0]PillarL
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[1]PillarR
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[2]NeonLightL
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[2]NeonLightL.[0]BoxLight
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[2]NeonLightL.[1]BakedBloom
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[3]NeonLightR
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[3]NeonLightR.[0]BoxLight
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[16]Pillar (4).[3]NeonLightR.[1]BakedBloom
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3)
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[0]PillarL
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[1]PillarR
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[2]NeonLightL
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[2]NeonLightL.[0]BoxLight
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[2]NeonLightL.[1]BakedBloom
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[3]NeonLightR
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[3]NeonLightR.[0]BoxLight
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[17]Pillar (3).[3]NeonLightR.[1]BakedBloom
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[18]Pillar (2)
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[18]Pillar (2).[0]PillarL
[DEBUG @ 18:56:07 | Chroma] InterscopeEnvironment.[0]Environment.[18]Pillar (2).[1]PillarR
