[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[1]BSBakedLightingLightWithIds
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[10]====== DYNAMIC ======
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[0]BG
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[1]BarBG
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[2]EnergyIconEmpty
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[3]EnergyIconFull
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[0]EnergyPanel.[7]Colorer
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[0]ComboText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[2]Line0
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[3]Line1
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[4]Colorer
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[0]ScoreText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[0]BGCircle
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[1]FGCircle
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[0]XText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[1]NumText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[0]XText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[1]NumText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[0]XText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[5]TextPanel.[1]NumText
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[6]Colorer
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[0]Progress
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[0]Background
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[1]Slider.[1]Handle Slide Area.[0]Handle
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[2]DurationMinutes
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[3]DurationSeconds
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[4]ProgressMinutes
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[5]ProgressSeconds
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[6]BG
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[11]NarrowGameHUD.[2]RightPanel.[1]SongProgressCanvas.[7]Colorer
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[12]BigSmokePS
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[0]Spectrogram
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[0]Spectrogram.[0]Spectrogram0
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[0]Spectrogram.[1]Spectrogram1
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[1]Spectrogram
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[1]Spectrogram.[0]Spectrogram0
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[13]Spectrograms.[1]Spectrogram.[1]Spectrogram1
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[14]DustPS
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[15]====== LIGHTS ======
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[16]BigLightsTrackLaneRings
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[17]SidePSR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[18]SidePSL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[19]LightWithIdManager
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[2]BakedReflectionProbe
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[0]LightManager
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[1]LightWrapper0
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[1]LightWrapper0.[0]DirectionalLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[2]LightWrapper1
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[2]LightWrapper1.[0]DirectionalLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[3]DirectionalLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[4]DirectionalLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[20]CoreLighting.[5]DirectionalLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[21]LightEffects
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[0]NeonTube.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1).[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[22]FrontLights.[1]NeonTube (1).[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[23]LightAreaL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[24]LightAreaR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[25]GradientBackground
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[26]NeonTube
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[26]NeonTube.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[26]NeonTube.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[27]NeonTube (1)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[27]NeonTube (1).[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[27]NeonTube (1).[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[0]BaseL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[0]BaseL.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[1]BaseR
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[1]BaseR.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[28]RotatingLasersPair.[1]BaseR.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1)
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[0]BaseL
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[0]BaseL.[0]Laser
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[0]BaseL.[0]Laser.[1]BoxLight
[DEBUG @ 19:11:57 | Chroma] OriginsEnvironment.[0]Environment.[29]RotatingLasersPair (1).[1]BaseR
