[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[0]DecoratorContext
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[1]SceneContext
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[10]DustPS
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[11]====== LIGHTS ======
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[0]BG
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[1]BarBG
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[2]EnergyIconEmpty
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[3]EnergyIconFull
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[0]ComboText
[DEBUG @ 13:20:38 | Chroma] RocketEnvironment.[0]Environment.[12]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas
